C1	STARTS	ENDS	C2	CHR	STRAND	EXONTYPE	GID	GNAME	GBIOTYPE	EXMINL	EXMAXL	MINDISTC1START	MINDISTENDC2	EXON_ID	TOTALN_EXONS
151612132+151612381+151612441+151612512+151615858+151639105+151639119+151658427	151660798	151660862	151662166+151665933+151668472+151668519+151669141+151680177+151683356	chr1	+	intr_vts	ENSG00000143376	snx27	protein_coding	65	65	2370	1303	15	16
151612132+151612381+151612441+151612512+151615858+151639105+151639119	151658235	151658427	151660798+151662166+151665933+151668472+151668519+151669141+151680177+151683356	chr1	+	sfrst_intr_vts	ENSG00000143376	snx27	protein_coding	193	193	19115	2370	16	16
25483630	25486634	25486705	NA	chrY	+	lst	ENSG00000240450	cspg4p1y	lincRNA	72	72	3003	-25486706	1	2
NA	25482908	25483630	25486634	chrY	+	frst	ENSG00000240450	cspg4p1y	lincRNA	723	723	25482907	3003	2	2
124097359	124097785	124097883	124101097	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	99	99	425	3213	1	46
123986176	124003167	124003347	124010594	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	181	181	16990	7246	2	46
124071631+124073382	124076198	124076325	124082270+124082288	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	128	128	2815	5944	3	46
124023596	124035277	124035454	124039882	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	178	178	11680	4427	4	46
123976084	123977417	123977609	123980465	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	193	193	1332	2855	5	46
123963398	123966007	123966061	123966159	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	55	55	2608	97	6	46
123852185+123914690+123952469	123955992	123956074	123963278	chr8	+	sfrst_vts	ENSG00000214814	fer1l6	protein_coding	83	83	3522	7203	7	46
124071631	124073258	124073382	124076198	chr8	+	vts	ENSG00000214814	fer1l6	protein_coding	125	125	1626	2815	8	46
124082458	124091423	124091583	124094896	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	161	161	8964	3312	9	46
124021669	124023444	124023596	124035277	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	153	153	1774	11680	10	46
124070598	124071506	124071631	124073258+124076198	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	126	126	907	1626	11	46
124013531	124017628	124017718	124021550	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	91	91	4096	3831	12	46
124060290	124060548	124060709	124061852	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	162	162	257	1142	13	46
124035454	124039882	124040006	124043580+124045767	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	125	125	4427	3573	14	46
123966290	123970035	123970097	123972060+123973434	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	63	63	3744	1962	15	46
124103309	124118844	124118944	124119607	chr8	+	slst_vts	ENSG00000214814	fer1l6	protein_coding	101	101	15534	662	16	46
124049756	124060180	124060290	124060548	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	111	111	10423	257	17	46
124040006+124040523+124043798	124045767	124045901	124049607	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	135	135	1968	3705	18	46
123973512+123974112	123975150	123975306	123975898+123977417	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	157	157	1037	591	19	46
124069475	124070467	124070598	124071506	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	132	132	991	907	20	46
124095038	124097271	124097359	124097785	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	89	89	2232	425	21	46
124040523	124043580	124043798	124045767	chr8	+	vts	ENSG00000214814	fer1l6	protein_coding	219	219	3056	1968	22	46
124091583	124094896	124095038	124097271	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	143	143	3312	2232	23	46
123956074	123963278	123963398	123966007	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	121	121	7203	2608	24	46
124066550	124067767	124067806	124069360	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	40	40	1216	1553	25	46
124017718	124021550	124021669	124023444	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	120	120	3831	1774	26	46
124003347	124010594	124010714	124013431	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	121	121	7246	2716	27	46
124045901	124049607	124049756	124060180	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	150	150	3705	10423	28	46
123973512	123974064	123974112	123975150	chr8	+	vts	ENSG00000214814	fer1l6	protein_coding	49	49	551	1037	29	46
123966061	123966159	123966290	123970035	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	132	132	97	3744	30	46
123970097+123972117	123973434	123973512	123974064+123975150	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	79	79	1316	551	31	46
124101338	124103146	124103309	124118844	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	164	164	1807	15534	32	46
123970097	123972060	123972117	123973434	chr8	+	vts	ENSG00000214814	fer1l6	protein_coding	58	58	1962	1316	33	46
124076325	124082270+124082288	124082458	124091423	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	171	189	5944	8964	34	46
123973512+123974112+123975306	123975898	123976084	123977417	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	187	187	591	1332	35	46
NA	123851987	123852185	123952431+123955992	chr8	+	frst	ENSG00000214814	fer1l6	protein_coding	199	199	123851986	100245	36	46
124097883	124101097	124101338	124103146	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	242	242	3213	1807	37	46
124118944	124119607	124120061	NA	chr8	+	lst	ENSG00000214814	fer1l6	protein_coding	455	455	662	-124120062	38	46
123980811	123986068	123986176	124003167	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	109	109	5256	16990	39	46
124062032	124064347	124064573	124066428	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	227	227	2314	1854	40	46
124010714	124013431	124013531	124017628	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	101	101	2716	4096	41	46
124064573	124066428	124066550	124067767	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	123	123	1854	1216	42	46
124067806	124069360	124069475	124070467	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	116	116	1553	991	43	46
123852185+123914690	123952431	123952469	123955992	chr8	+	vts	ENSG00000214814	fer1l6	protein_coding	39	39	37740	3522	44	46
124060709	124061852	124062032	124064347	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	181	181	1142	2314	45	46
123977609	123980465	123980811	123986068	chr8	+	intr_vts	ENSG00000214814	fer1l6	protein_coding	347	347	2855	5256	46	46
NA	50668855	50669160	50670683	chr16	+	frst	ENSG00000260249	rp11-401p9.5	antisense	306	306	50668854	1522	1	3
50669160	50670683	50670993	50671148	chr16	+	sfrst_slst_vts	ENSG00000260249	rp11-401p9.5	antisense	311	311	1522	154	2	3
50670993	50671148	50671639	NA	chr16	+	lst	ENSG00000260249	rp11-401p9.5	antisense	492	492	154	-50671640	3	3
78014753	78015754	78015881	78020244	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	128	128	1000	4362	1	27
78009263	78011176	78011252	78011449	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	77	77	1912	196	2	27
78020398	78020945	78021079	78029250+78031400	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	135	135	546	8170	3	27
NA	77910702	77910835	77962623+77971621	chrX	+	frst	ENSG00000165240	atp7a	protein_coding	134	134	77910701	51787	4	27
77998684+78001232	78003073	78003236	78009102+78011176+78011449	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	164	164	1840	5865	5	27
77998684	78001115	78001232	78003073	chrX	+	vts	ENSG00000165240	atp7a	protein_coding	118	118	2430	1840	6	27
78011252	78011449	78011674	78012879	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	226	226	196	1204	7	27
78045572	78046294	78050395	NA	chrX	+	lst	ENSG00000165240	atp7a	protein_coding	4102	4102	721	-78050396	8	27
77908110+77910835+77962814+77971761+77974808+77988731+77989958+77998684+78001232+78003236+78009263+78011252+78011674+78013112+78014753+78015881+78020398+78021079+78029444+78031582+78033821+78038494+78038982+78040733	78042585	78042788	78043317+78045257+78045470+78045502	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	204	204	1851	528	9	27
78033821	78038273	78038494	78038836	chrX	+	vts	ENSG00000165240	atp7a	protein_coding	222	222	4451	341	10	27
77971761	77974745	77974808	77975511	chrX	+	vts	ENSG00000165240	atp7a	protein_coding	64	64	2983	702	11	27
78011674	78012879	78013112	78014662	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	234	234	1204	1549	12	27
77910835+77962814	77971621	77971761	77974745+77975511+77988242	chrX	+	sfrst_vts	ENSG00000165240	atp7a	protein_coding	141	141	8806	2983	13	27
78031582	78033605	78033821	78038273+78038836	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	217	217	2022	4451	14	27
77908110+77910835	77962623	77962814	77971621+77974745+77975511+77988242+77989233+77998478+77998562+78001115+78003073+78009102+78011176+78011449+78012879+78014662+78015754+78020244+78020945+78029250+78031400+78033605+78038273+78038836+78040591+78042585+78043317+78045257+78045470+78045502	chrX	+	vts	ENSG00000165240	atp7a	protein_coding	192	192	51787	8806	15	27
78021079	78029250	78029444	78031400	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	195	195	8170	1955	16	27
77989958	77998478+77998562	77998684	78001115+78003073	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	123	207	8519	2430	17	27
77908110+77910835+77962814+77971761+77974808+77988731+77989958+77998684+78001232+78003236+78009263+78011252+78011674+78013112+78014753+78015881+78020398+78021079+78029444+78031582+78033821+78038494+78038982+78040733+78042788	78043317	78043434	78045257+78045470+78045502	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	118	118	528	1822	18	27
77988731	77989233	77989958	77998478+77998562	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	726	726	501	8519	19	27
77908110+77910835+77962814+77971761+77974808+77988731+77989958+77998684+78001232+78003236+78009263+78011252+78011674+78013112+78014753+78015881+78020398+78021079+78029444+78031582+78033821+78038494	78038836	78038982	78040591+78042585+78043317+78045257+78045470+78045502	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	147	147	341	1608	20	27
78013112	78014662	78014753	78015754+78020244	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	92	92	1549	1000	21	27
78003236	78009102	78009263	78011176+78011449	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	162	162	5865	1912	22	27
77908110+77910835+77962814+77971761+77974808+77988731+77989958+77998684+78001232+78003236+78009263+78011252+78011674+78013112+78014753+78015881+78020398+78021079+78029444	78031400	78031582	78033605+78038273+78038836+78040591+78042585+78043317+78045257+78045470+78045502	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	183	183	1955	2022	23	27
78043434	78045470	78045572	78046294	chrX	+	slst_vts	ENSG00000165240	atp7a	protein_coding	103	103	2035	721	24	27
77908110+77910835+77962814+77971761+77974808+77988731+77989958+77998684+78001232+78003236+78009263+78011252+78011674+78013112+78014753+78015881+78020398+78021079+78029444+78031582+78033821+78038494+78038982	78040591	78040733	78042585+78043317+78045257+78045470+78045502	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	143	143	1608	1851	25	27
77908110+77910835+77962814+77971761+77974808+77988731+77989958+77998684+78001232+78003236+78009263+78011252+78011674+78013112+78014753+78015881	78020244	78020398	78020945	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	155	155	4362	546	26	27
77971761+77974808	77988242	77988731	77989233+77998478+77998562+78001115+78003073+78009102+78011176+78011449	chrX	+	intr_vts	ENSG00000165240	atp7a	protein_coding	490	490	13433	501	27	27
10515029	10517398	10517450	NA	chr19	-	frst	ENSG00000180739	s1pr5	protein_coding	53	53	2368	-10517451	2	2
NA	10512742	10515029	10517398	chr19	-	lst	ENSG00000180739	s1pr5	protein_coding	2288	2288	10512741	2368	1	2
23061945	23063511	23063740	23063902	chr22	-	vts	ENSG00000100218	rsph14	protein_coding	230	230	1565	161	9	9
NA	23059415	23059718	23059880+23061809	chr22	-	lst	ENSG00000100218	rsph14	protein_coding	304	304	23059414	161	8	9
23064133+23124500	23134026	23134144	23138840	chr22	-	intr_vts	ENSG00000100218	rsph14	protein_coding	119	119	9525	4695	7	9
23061945+23063740	23063902	23064133	23134026	chr22	-	intr_vts	ENSG00000100218	rsph14	protein_coding	232	232	161	69892	6	9
23059718+23060012	23061809	23061945	23063511+23063902	chr22	-	slst_vts	ENSG00000100218	rsph14	protein_coding	137	137	1796	1565	5	9
23134144	23138840	23138942	23140222	chr22	-	intr_vts	ENSG00000100218	rsph14	protein_coding	103	103	4695	1279	4	9
23140472	23141949	23142093	NA	chr22	-	frst	ENSG00000100218	rsph14	protein_coding	145	145	1476	-23142094	3	9
23138942	23140222	23140472	23141949	chr22	-	sfrst_vts	ENSG00000100218	rsph14	protein_coding	251	251	1279	1476	2	9
23059718	23059880	23060012	23061809	chr22	-	vts	ENSG00000100218	rsph14	protein_coding	133	133	161	1796	1	9
120443308	120445068	120445386+120445402	NA	chr8	-	frst	ENSG00000172172	mrpl13	protein_coding	319	335	1759	-120445403	7	7
120425366	120432030	120432123	120443185	chr8	-	intr_vts	ENSG00000172172	mrpl13	protein_coding	94	94	6663	11061	6	7
120396125	120413991	120414112	120419852	chr8	-	slst_vts	ENSG00000172172	mrpl13	protein_coding	122	122	17865	5739	5	7
120414112	120419852	120419938	120425306	chr8	-	intr_vts	ENSG00000172172	mrpl13	protein_coding	87	87	5739	5367	4	7
120425366+120432123	120443185	120443308	120444948+120445068	chr8	-	sfrst_vts	ENSG00000172172	mrpl13	protein_coding	124	124	11061	1639	3	7
NA	120395437+120395847	120396125	120413991	chr8	-	lst	ENSG00000172172	mrpl13	protein_coding	279	689	120395436	17865	2	7
120419938	120425306	120425366	120432030+120443185	chr8	-	intr_vts	ENSG00000172172	mrpl13	protein_coding	61	61	5367	6663	1	7
115623719+115659404+115663916	115676013	115676610	115677724+115720794	chr3	+	sfrst_slst_vts	ENSG00000172020	gap43	protein_coding	598	598	12096	1113	1	5
115676610	115677724	115677883	115720794+115720797	chr3	+	vts	ENSG00000172020	gap43	protein_coding	160	160	1113	42910	2	5
115676610+115677883	115720794	115721490	NA	chr3	+	lst	ENSG00000172020	gap43	protein_coding	697	697	42910	-115721491	3	5
NA	115623324+115623510	115623719	115663521+115676013	chr3	+	frst	ENSG00000172020	gap43	protein_coding	210	396	115623323	39801	4	5
115623719+115659404	115663521	115663916	115676013	chr3	+	sfrst_vts	ENSG00000172020	gap43	protein_coding	396	396	4116	12096	5	5
127580163+127580437+127584445	127587984+127588021+127588070	127588160+127588207	127590410	chr3	-	vts	ENSG00000163870	tpra1	protein_coding	91	224	3538	2202	18	18
127573788	127575185	127575232+127575257+127575265	127575403+127575749+127575940	chr3	-	slst_vts	ENSG00000163870	tpra1	protein_coding	48	81	1396	137	17	18
127579872	127580022	127580163+127580437	127584316+127587984+127588021+127588070+127590410	chr3	-	frst_sfrst_vts	ENSG00000163870	tpra1	protein_coding	142	416	149	3878	16	18
127575232+127575257+127575265	127575403	127575505	127575749+127575940	chr3	-	intr_vts	ENSG00000163870	tpra1	protein_coding	103	103	137	243	15	18
127573788+127575232+127575257+127575265+127575505+127575809+127576050+127576255+127576696+127576893+127577076	127579740	127579872	127580022	chr3	-	sfrst_intr_vts	ENSG00000163870	tpra1	protein_coding	133	133	2663	149	14	18
127591950	127592828	127592954	127594800	chr3	-	vts	ENSG00000163870	tpra1	protein_coding	127	127	877	1845	13	18
127594933+127595140	127595452	127595690	127598007+127598055+127598196	chr3	-	vts	ENSG00000163870	tpra1	protein_coding	239	239	311	2316	12	18
127575265+127575505+127575809	127575940	127576050	127576185+127576617	chr3	-	intr_vts	ENSG00000163870	tpra1	protein_coding	111	111	130	134	11	18
127573788+127575232+127575257+127575265+127575505+127575809+127576050+127576255	127576617	127576696	127576821	chr3	-	intr_vts	ENSG00000163870	tpra1	protein_coding	80	80	361	124	10	18
NA	127573069+127573087+127573093	127573788	127575185	chr3	-	lst	ENSG00000163870	tpra1	protein_coding	696	720	127573068	1396	9	18
127576696	127576821	127576893	127576990	chr3	-	intr_vts	ENSG00000163870	tpra1	protein_coding	73	73	124	96	8	18
127580163+127580437	127584316	127584445	127587984+127588021+127588070+127590410	chr3	-	vts	ENSG00000163870	tpra1	protein_coding	130	130	3878	3538	7	18
127576696+127576893	127576990	127577076	127579740	chr3	-	intr_vts	ENSG00000163870	tpra1	protein_coding	87	87	96	2663	6	18
127575505	127575749	127575809	127575940	chr3	-	intr_vts	ENSG00000163870	tpra1	protein_coding	61	61	243	130	5	18
127576050	127576185	127576255	127576617	chr3	-	vts	ENSG00000163870	tpra1	protein_coding	71	71	134	361	4	18
127591950+127592954	127594800	127594933	127595452	chr3	-	vts	ENSG00000163870	tpra1	protein_coding	134	134	1845	518	3	18
127580163+127580437+127584445+127588160+127588207	127590410	127590592+127590707+127590734+127590769	127591890+127592828+127594800	chr3	-	frst_vts	ENSG00000163870	tpra1	protein_coding	183	360	2202	1120	2	18
127580163+127580437+127584445+127588160+127588207+127590592+127590707+127590734+127590769	127591890	127591950	127592828+127594800	chr3	-	vts	ENSG00000163870	tpra1	protein_coding	61	61	1120	877	1	18
155257908+155257913+155258082	155260273	155260400+155260428+155260470	155285158	chr6	-	slst_vts	ENSG00000029639	tfb1m	protein_coding	128	198	2190	24687	9	9
NA	155257509	155258082	155260273	chr6	-	lst	ENSG00000029639	tfb1m	protein_coding	574	574	155257508	2190	8	9
155311339+155313244	155314296	155314484	NA	chr6	-	frst	ENSG00000029639	tfb1m	protein_coding	189	189	1051	-155314485	7	9
155257908+155257913+155258082+155260400+155260428+155260470+155285277+155297104	155298477	155298569+155298585	155302136+155311188+155311332	chr6	-	intr_vts	ENSG00000029639	tfb1m	protein_coding	93	109	1372	3550	6	9
155285277	155296953	155297104	155298477	chr6	-	intr_vts	ENSG00000029639	tfb1m	protein_coding	152	152	11675	1372	5	9
155257908+155257913+155258082+155260400+155260428+155260470	155285158	155285277	155296953	chr6	-	intr_vts	ENSG00000029639	tfb1m	protein_coding	120	120	24687	11675	4	9
155298585+155302288	155311188	155311339	155313138+155314117+155314296	chr6	-	sfrst_vts	ENSG00000029639	tfb1m	protein_coding	152	152	8899	1798	3	9
155311339	155313138	155313244	155314117	chr6	-	vts	ENSG00000029639	tfb1m	protein_coding	107	107	1798	872	2	9
155298569+155298585	155302136	155302288	155311188+155311332	chr6	-	vts	ENSG00000029639	tfb1m	protein_coding	153	153	3550	8899	1	9
69385486+69385988	69400772	69400876	69408437	chr16	-	vts	ENSG00000132604	terf2	protein_coding	105	105	14783	7560	12	12
69372355	69384580	69384710	69385391	chr16	-	intr_vts	ENSG00000132604	terf2	protein_coding	131	131	12224	680	11	12
69367199	69368376	69368482	69368587+69370211+69370473+69370483	chr16	-	intr_vts	ENSG00000132604	terf2	protein_coding	107	107	1176	104	10	12
69384710	69385391	69385486	69385593+69400772	chr16	-	sfrst_vts	ENSG00000132604	terf2	protein_coding	96	96	680	106	9	12
69361489	69366807+69366991	69367199	69368376	chr16	-	intr_vts	ENSG00000132604	terf2	protein_coding	209	393	5317	1176	8	12
69385486	69385593	69385988	NA	chr16	-	frst	ENSG00000132604	terf2	protein_coding	396	396	106	-69385989	7	12
69370629	69372269	69372355	69384580	chr16	-	intr_slst_vts	ENSG00000132604	terf2	protein_coding	87	87	1639	12224	6	12
69368482+69368595	69370211+69370483	69370629	69372269	chr16	-	intr_lst_vts	ENSG00000132604	terf2	protein_coding	147	419	1615	1639	5	12
69368482	69368587	69368595	69370211+69370473+69370483	chr16	-	vts	ENSG00000132604	terf2	protein_coding	9	9	104	1615	4	12
69357561+69357605	69361404	69361489	69366807	chr16	-	intr_vts	ENSG00000132604	terf2	protein_coding	86	86	3798	5317	3	12
69357056	69357518	69357558+69357561+69357605	69361292+69361404	chr16	-	slst_vts	ENSG00000132604	terf2	protein_coding	41	88	461	3686	2	12
NA	69355561	69357056	69357518	chr16	-	lst	ENSG00000132604	terf2	protein_coding	1496	1496	69355560	461	1	12
45934505+45934510	45945249	45945310+45945313	45948437	chr12	-	intr_vts	ENSG00000139218	scaf11	protein_coding	62	65	10738	3123	23	23
45964188+45975734	45984147	45984332	45990353+45990706+45991885	chr12	-	vts	ENSG00000139218	scaf11	protein_coding	186	186	8412	6020	22	23
45951727	45953828	45953857	45954734+45960162+45961700	chr12	-	vts	ENSG00000139218	scaf11	protein_coding	30	30	2100	876	21	23
45928859+45929965	45931506	45931612	45932454+45933131	chr12	-	intr_vts	ENSG00000139218	scaf11	protein_coding	107	107	1540	841	20	23
45964188+45975734+45984332	45990353	45990565+45990584	NA	chr12	-	frst	ENSG00000139218	scaf11	protein_coding	213	232	6020	-45990585	19	23
45951727+45953857+45956192+45960214	45961700	45961857	45962915+45964107	chr12	-	intr_slst_vts	ENSG00000139218	scaf11	protein_coding	158	158	1485	1057	18	23
NA	45919131+45921409+45922048	45922194	45922463	chr12	-	lst	ENSG00000139218	scaf11	protein_coding	147	3064	45919130	268	17	23
45931612+45932524	45933131	45933232	45934176	chr12	-	intr_vts	ENSG00000139218	scaf11	protein_coding	102	102	606	943	16	23
45922194	45922463	45922582	45922936	chr12	-	slst_vts	ENSG00000139218	scaf11	protein_coding	120	120	268	353	15	23
45964188+45975734+45984332+45990565+45990584	45990706	45990820	45991885	chr12	-	vts	ENSG00000139218	scaf11	protein_coding	115	115	121	1064	14	23
45961857+45963083	45964107	45964188	45975544+45984147+45990353	chr12	-	sfrst_vts	ENSG00000139218	scaf11	protein_coding	82	82	1023	11355	13	23
NA	45954734	45956192	45960162+45961700	chr12	-	lst	ENSG00000139218	scaf11	protein_coding	1459	1459	45954733	3969	12	23
45923154	45924728	45925074+45925092	45926142	chr12	-	sfrst_intr_vts	ENSG00000139218	scaf11	protein_coding	347	365	1573	1049	11	23
45922582	45922936+45922984	45923154	45924728	chr12	-	intr_vts	ENSG00000139218	scaf11	protein_coding	171	219	353	1573	10	23
45934285	45934447	45934505+45934510	45945249	chr12	-	frst_intr_vts	ENSG00000139218	scaf11	protein_coding	59	64	161	10738	9	23
45945313	45948437	45948537	45951650	chr12	-	intr_vts	ENSG00000139218	scaf11	protein_coding	101	101	3123	3112	8	23
45948537	45951650	45951727	45953828+45954734+45960162+45961700+45962915+45964107	chr12	-	intr_vts	ENSG00000139218	scaf11	protein_coding	78	78	3112	2100	7	23
45933227+45933232	45934176	45934285	45934447	chr12	-	sfrst_intr_vts	ENSG00000139218	scaf11	protein_coding	110	110	943	161	6	23
45925074+45925092	45926142	45926288+45926291+45928859+45929965	45931506	chr12	-	frst_intr_vts	ENSG00000139218	scaf11	protein_coding	147	3824	1049	1540	5	23
45931612	45932454	45932524	45933131	chr12	-	vts	ENSG00000139218	scaf11	protein_coding	71	71	841	606	4	23
45951727+45953857+45956192	45960162	45960214	45961700	chr12	-	vts	ENSG00000139218	scaf11	protein_coding	53	53	3969	1485	3	23
45961857	45962915	45963083	45964107	chr12	-	vts	ENSG00000139218	scaf11	protein_coding	169	169	1057	1023	2	23
45964188	45975544	45975734	45984147+45990353+45990706+45991885	chr12	-	vts	ENSG00000139218	scaf11	protein_coding	191	191	11355	8412	1	23
76782832	76783705	76783887	76784116	chr9	+	slst_vts	ENSG00000225937	pca3	antisense	183	183	872	228	1	4
76783887	76784116	76787569	NA	chr9	+	lst	ENSG00000225937	pca3	antisense	3454	3454	228	-76787570	2	4
76764555+76764829	76782668	76782832	76783705+76783840	chr9	+	sfrst_vts	ENSG00000225937	pca3	antisense	165	165	17838	872	3	4
NA	76764436	76764555	76782668	chr9	+	frst	ENSG00000225937	pca3	antisense	120	120	76764435	18112	4	4
3569564+3574081	3576871	3576955+3576986	3582983+3583058+3583121+3592231	chr12	+	intr_vts	ENSG00000111218	prmt8	protein_coding	85	116	2789	5996	1	17
3419892	3490929	3491018	3491173+3491236+3538368+3540606	chr12	+	vts	ENSG00000111218	prmt8	protein_coding	90	90	71036	154	2	17
3540791	3549936	3550091	3552518+3552703+3553198+3553651	chr12	+	intr_vts	ENSG00000111218	prmt8	protein_coding	156	156	9144	2426	3	17
3381442+3419892+3491018+3491700+3538707	3540606	3540791	3549936	chr12	+	sfrst_vts	ENSG00000111218	prmt8	protein_coding	186	186	1898	9144	4	17
3553714	3568706+3568723	3568848+3568909	3569434+3569477+3573951+3576871	chr12	+	intr_vts	ENSG00000111218	prmt8	protein_coding	126	204	14991	524	5	17
3553714+3568848+3568909	3569434+3569477	3569564	3573951+3576871	chr12	+	intr_vts	ENSG00000111218	prmt8	protein_coding	88	131	524	4386	6	17
3583208	3592231	3592352	3593099	chr12	+	slst_vts	ENSG00000111218	prmt8	protein_coding	122	122	9022	746	7	17
3491018	3491173+3491236	3491700	3538368+3540606	chr12	+	frst_vts	ENSG00000111218	prmt8	protein_coding	465	528	154	46667	8	17
3576955+3576986	3582983+3583058+3583121	3583208	3592231	chr12	+	intr_vts	ENSG00000111218	prmt8	protein_coding	88	226	5996	9022	9	17
3569564	3573951	3574081	3576871	chr12	+	vts	ENSG00000111218	prmt8	protein_coding	131	131	4386	2789	10	17
3592352	3593099	3593182+3593973	NA	chr12	+	lst	ENSG00000111218	prmt8	protein_coding	84	875	746	-3593974	11	17
3550091+3552834+3553366	3553651	3553714	3568706	chr12	+	intr_vts	ENSG00000111218	prmt8	protein_coding	64	64	284	14991	12	17
3491700	3538368	3538707	3540606	chr12	+	vts	ENSG00000111218	prmt8	protein_coding	340	340	46667	1898	13	17
3380470+3381442	3419754	3419892	3490929+3491173+3491236+3538368+3540606	chr12	+	vts	ENSG00000111218	prmt8	protein_coding	139	139	38311	71036	14	17
3552834	3553198	3553366	3553651	chr12	+	vts	ENSG00000111218	prmt8	protein_coding	169	169	363	284	15	17
3380470	3381265+3381349	3381442	3419754+3490929+3491173+3491236+3538368+3540606	chr12	+	frst_vts	ENSG00000111218	prmt8	protein_coding	94	178	794	38311	16	17
3550016+3550091	3552518+3552703	3552834	3553198+3553651	chr12	+	vts	ENSG00000111218	prmt8	protein_coding	132	317	2426	363	17	17
44426736	44427010	44427111	44435131	chr21	+	intr_vts	ENSG00000142185	trpm2	protein_coding	102	102	273	8019	1	39
44424939+44425449	44425556+44425670	44425827	44426660+44426700	chr21	+	frst_intr_vts	ENSG00000142185	trpm2	protein_coding	158	272	106	832	2	39
44437167+44438314	44439067	44439168	44440789	chr21	+	intr_vts	ENSG00000142185	trpm2	protein_coding	102	102	752	1620	3	39
44414074	44417927	44418108	44418423	chr21	+	intr_vts	ENSG00000142185	trpm2	protein_coding	182	182	3852	314	4	39
44353865	44354648	44354736	44364114	chr21	+	sfrst_intr_vts	ENSG00000142185	trpm2	protein_coding	89	89	782	9377	5	39
44418555+44419030+44419037	44422270	44422419	44423645	chr21	+	intr_vts	ENSG00000142185	trpm2	protein_coding	150	150	3232	1225	6	39
44401897	44405142	44405260	44405905	chr21	+	intr_vts	ENSG00000142185	trpm2	protein_coding	119	119	3244	644	7	39
44418555+44419030+44419037+44422419	44423645	44423732	44424852	chr21	+	intr_vts	ENSG00000142185	trpm2	protein_coding	88	88	1225	1119	8	39
NA	44350163	44350275	44353256+44353601	chr21	+	frst	ENSG00000142185	trpm2	protein_coding	113	113	44350162	2980	9	39
44400371	44401681	44401897	44405142	chr21	+	intr_vts	ENSG00000142185	trpm2	protein_coding	217	217	1309	3244	10	39
